TEXT,special_encounter,exposition_encounter,combat_encounter,boss_encounter,exploration_encounter,roll,tackle_party,divide_party,neutral_mood,friendly,intense,relaxed,peaceful,stressful,sad,scary,aggresive,battle,travel,escape,chase,puzzle,arguement,conversation,invstigate,haggle,trade,garden,woods,mountains,heaven,hell,ship,hideout,swamp,desert,jungle,pyramid,home,farm,barn,maze,castle,prison,graveyard,crypt,cave,tavern,shop,sea,city,town,village,dawn,dusk,morning,noon,evening,night,day,animal,demi-human,werewolf,half-beast,vampire,beast,dragonborn,dragon,dwarf,giant,elf,half-elf,halfling,gnome,half-orc,human,tiefling,orc,leonin,satyr,aarakccra,genasi,goliath,goblin,hobgoblin,lizardfolk,miotaur,kobold,bow,staff,hammer,scemitar,shield,sword,greatsword,axe,club,dagger,greatclub,handaxe,javelin,light hammer,mace,spear,death,trap,magic,potion,curse,loot,reward,lawful good,lawful neutral,lawful evil,neutral good,neutral,neutral evil,chaotic good,chaotic neutral,chaotic evil
"When the characters go to the common room, they see a hooded figure alone at a large table. The figure motions to them s they descend the stairs.",0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The figure keeps his face obscured by his hood and speaks in a low voice, obviously disguising it. If he must reveal himself, he is an older half-elf with close-cropped grey hair. He refuses to provide a name.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The figure identifies himself as a member of the Harpers, an organization dedicated to fighting evil wherever it hides. He wears a brooch that confirms his ties to the Harpers.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"He has a mission that the characters are in a unique position to complete. The Harpers have captured a merchant that was going to illegally purchase a red dragon egg. The Harper wants the characters to pose as the merchant and any hirelings, go to the buy site, make the transaction, and place a magical device on one of the sellers so that Harpers can track them back to their place of residence.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"One of the characters (chosen at random) bears enough of a resemblance to the captured merchant that the sellers (who have never seen the merchant) can be easily fooled. The rest of the characters can act the roles of bodyguards, assistants, porters, etc. The merchant can be male or female at your discretion.",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"The Harper provides a small sack of fake diamonds that the characters should use to buy the egg. The “diamonds” are basically worthless, but good enough to pass a cursory inspection.",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"At some point during the exchange, one of the characters must place a small silver pin infused with magic on the seller or one of the crew. Once that is done, the Harpers can more easily scry on the sellers and learn more about their operation.",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"Once the transaction is complete, the characters are to bring the egg back to the stables behind the Tea Kettle, where the Harper will meet them and take possession of it.",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
"For completing the task successfully and as instructed, the Harper offers the group 200 gp. The sum will be paid upon delivery of the egg.",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
"The Harper agent gives the characters the small pouch of fake diamonds, the magical silver pin, and directions to an abandoned barn on the northern outskirts of Phlan.",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
